id,acaEmploymentStatus,activeDutySeparationDate,adjustedServiceDate,annualSalary,birthDate,citizenship,disabilityDescription,disabilityNotes,disabled,disabledEffectiveDate,disabledRequiresAccomodation,eeoGenderOverride,eligibleForRehire,emailAddress,employeeNumber,employmentCategoryCode,employmentCategoryEffectiveDate,employmentCategoryFullTimeEquivalent,employmentStatus,enableSelfService,ethnicOrigin,gender,hireDate,hourlyRate,allowEmployeeAccess,allowManagerAccess,allowSupervisorAccess,documentCode,documentContent,documentDescription,documentFileName,documentNumber,expirationDate,issuingAuthority,href,method,rel,i9Completed,i9CompletedDate,idType,isManager,isPending,isRecentlySeparatedVeteran,isRemoteWorker,isSupervisor,jobCode,jobEeoCategory,jobEffectiveDate,jobFLSAExempt,jobGroup,jobIsSeasonal,jobIsUnion,jobTitle,legalCode,maritalStatus,militaryStatus,normalHours,originalHireDate,address1,address2,city,country,deleteAddress,foreignPostalCode,foreignStateProvince,militaryCity,militaryState,state,useForPaychecks,useForTaxForms,zipCode,payFrequency,payGroup,payType,perPaySalary,profilePicture,protectedVeteran,reciprocityRule,rehireDate,salaryEffectiveDate,socCode,ssn,statusDate,taxExemptStatus,terminationDate,terminationReason,terminationType,timecardPunchStatusDate,timecardPunchStatusIsIn,timeclockId,tobaccoUse,uniqueId,updatedDisabledEffectiveDate,updatedHireDate,updatedJobEffectiveDate,updatedSalaryEffectiveDate,updatedStatusDate,veteranStatusNotSpecified,workersCompCode,workLocation,workLocationDashDescription,applicationDate,includeCertification,jobAcceptedDate,jobOfferedDate,links,path_param_client_id
10001,ACA Full Time,,2018-01-01T00:00:00,75000,1970-01-01T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2018-01-01T00:00:00,FALSE,,TRUE,alex.smith@example.test,C9910001,FT,2018-01-01T00:00:00,,Active,TRUE,White (Not Hispanic or Latino),Male,2018-01-01T00:00:00,0,,,,,,,,,,,,,,TRUE,2018-01-01T00:00:00,,TRUE,,,FALSE,FALSE,EA,,2018-01-01T00:00:00,TRUE,,FALSE,FALSE,Executive Assistant,C999999,Single,,80,2018-01-01T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,3125,,FALSE,,,2018-01-01T00:00:00,,900-00-1000,2018-01-01T00:00:00,,,,,,,,FALSE,10001,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10001', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10001/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10001/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10002,ACA Exempt,,,120000,1973-02-02T00:00:00,Citizen of the United States,,,,,,,FALSE,jordan.johnson@example.test,C9910002,FT,2019-02-02T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2019-02-02T00:00:00,25,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,COS,,2019-02-02T00:00:00,FALSE,,FALSE,FALSE,Chief of Staff,C999999,Married,,80,2019-02-02T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,5000,,FALSE,,,2019-02-02T00:00:00,,900-00-1001,2021-06-30T00:00:00,,2021-06-30T00:00:00,Resignation,Voluntary Termination,,,,FALSE,10002,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10002', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10002/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10002/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10003,ACA Full Time,,2020-03-03T00:00:00,95000,1976-03-03T00:00:00,Citizen of the United States,,,,,,,TRUE,taylor.williams@example.test,C9910003,PT,2020-03-03T00:00:00,,Active,TRUE,White (Not Hispanic or Latino),Male,2020-03-03T00:00:00,40,,,,,,,,,,,,,,TRUE,2020-03-03T00:00:00,,FALSE,,,FALSE,FALSE,PRDMNGR,,2020-03-03T00:00:00,TRUE,,FALSE,FALSE,Product Manager,C999999,Single,,80,2020-03-03T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,3958,,FALSE,,,2020-03-03T00:00:00,,900-00-1002,2020-03-03T00:00:00,,,,,,,,FALSE,10003,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10003', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10003/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10003/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10004,ACA Full Time,,,85000,1979-04-04T00:00:00,Citizen of the United States,,,,,,,FALSE,morgan.brown@example.test,C9910004,FT,2021-04-04T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2021-04-04T00:00:00,35,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,AC,,2021-04-04T00:00:00,FALSE,,FALSE,FALSE,Assistant Controller,C999999,Married,,80,2021-04-04T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,3541,,FALSE,,,2021-04-04T00:00:00,,900-00-1003,2023-06-30T00:00:00,,2023-06-30T00:00:00,Resignation,Voluntary Termination,,,,FALSE,10004,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10004', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10004/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10004/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10005,ACA Exempt,,2022-05-05T00:00:00,200000,1982-05-05T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2022-05-05T00:00:00,FALSE,,TRUE,casey.jones@example.test,C9910005,FT,2022-05-05T00:00:00,,Active,TRUE,White (Not Hispanic or Latino),Male,2022-05-05T00:00:00,96,,,,,,,,,,,,,,TRUE,2022-05-05T00:00:00,,FALSE,,,FALSE,FALSE,VPF,,2022-05-05T00:00:00,TRUE,,FALSE,FALSE,VP Finance,C999999,Single,,40,2022-05-05T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,8333,,FALSE,,,2022-05-05T00:00:00,,900-00-1004,2022-05-05T00:00:00,,,,,,,,FALSE,10005,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10005', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10005/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10005/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10006,ACA Full Time,,,55000,1985-06-06T00:00:00,Citizen of the United States,,,,,,,FALSE,riley.garcia@example.test,C9910006,FT,2023-06-06T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2023-06-06T00:00:00,28,,,,,,,,,,,,,,FALSE,,,TRUE,,,FALSE,FALSE,CON1099,,2023-06-06T00:00:00,FALSE,,FALSE,FALSE,Consultant,C999999,Married,,80,2023-06-06T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,2291,,FALSE,,,2023-06-06T00:00:00,,900-00-1005,2025-06-30T00:00:00,,2025-06-30T00:00:00,Resignation,Voluntary Termination,,,,FALSE,10006,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10006', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10006/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10006/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10007,ACA Full Time,,2018-07-07T00:00:00,150000,1988-07-07T00:00:00,Citizen of the United States,,,,,,,TRUE,quinn.miller@example.test,C9910007,PT,2018-07-07T00:00:00,,Active,TRUE,White (Not Hispanic or Latino),Male,2018-07-07T00:00:00,42,,,,,,,,,,,,,,TRUE,2018-07-07T00:00:00,,FALSE,,,FALSE,FALSE,MGRMEMBER,,2018-07-07T00:00:00,TRUE,,FALSE,FALSE,Managing Member,C999999,Single,,80,2018-07-07T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,6250,,FALSE,,,2018-07-07T00:00:00,,900-00-1006,2018-07-07T00:00:00,,,,,,,,FALSE,10007,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10007', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10007/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10007/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10008,ACA Exempt,,,65000,1991-08-08T00:00:00,Citizen of the United States,,,,,,,FALSE,avery.davis@example.test,C9910008,FT,2019-08-08T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2019-08-08T00:00:00,31,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,PRINC,,2019-08-08T00:00:00,FALSE,,FALSE,FALSE,Principle,C999999,Married,,80,2019-08-08T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,2708,,FALSE,,,2019-08-08T00:00:00,,900-00-1007,2021-06-30T00:00:00,,2021-06-30T00:00:00,Resignation,Voluntary Termination,,,,FALSE,10008,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10008', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10008/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10008/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10009,ACA Full Time,,2020-09-09T00:00:00,300000,1994-09-09T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2020-09-09T00:00:00,FALSE,,TRUE,blake.wilson@example.test,C9910009,FT,2020-09-09T00:00:00,,Active,TRUE,White (Not Hispanic or Latino),Male,2020-09-09T00:00:00,144,,,,,,,,,,,,,,TRUE,2020-09-09T00:00:00,,FALSE,,,FALSE,FALSE,Director,,2020-09-09T00:00:00,TRUE,,FALSE,FALSE,Director of Operations,C999999,Single,,80,2020-09-09T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,12500,,FALSE,,,2020-09-09T00:00:00,,900-00-1008,2020-09-09T00:00:00,,,,,,,,FALSE,10009,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10009', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10009/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10009/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
10010,ACA Full Time,,,45000,1997-10-10T00:00:00,Citizen of the United States,,,,,,,FALSE,drew.moore@example.test,C9910010,FT,2021-10-10T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2021-10-10T00:00:00,15,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,Admin,,2021-10-10T00:00:00,FALSE,,FALSE,FALSE,Admin,C999999,Married,,40,2021-10-10T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1875,,FALSE,,,2021-10-10T00:00:00,,900-00-1009,2023-06-30T00:00:00,,2023-06-30T00:00:00,Resignation,Voluntary Termination,,,,FALSE,10010,,,,,,TRUE,8810 - Clerical Office Employees,OFFICECA01,OFFICECA01 - Main Office - CA,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10010', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10010/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/999/legals/100/employees/10010/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",999
