id,address1,address2,city,firstName,lastName,middleName,country,deleteAddress,foreignPostalCode,foreignStateProvince,militaryCity,militaryState,state,useForPaychecks,useForTaxForms,zipCode,preferredName,preferredPronouns,prefix,residentGeoCode,schoolDistrictCode,suffix,links,employeesWithSSN_id,path_param_client_id
30001,123 Maple Street,,Springfield,Alex,Smith,,,,,,,,CA,,,90210,,,,CA0603700,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10001,999
30002,456 Oak Avenue,Unit 2B,Riverside,Jordan,Johnson,,,,,,,,CA,,,94010,,,,CA0811500,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10002,999
30003,789 Pine Road,,Fairview,Taylor,Williams,Marie,,,,,,,CA,,,94102,,,,CA0810000,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10003,999
30004,101 Cedar Lane,Apt 4,Lakewood,Morgan,Brown,,,,,,,,CA,,,94114,,,,CA0816980,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10004,999
30005,202 Birch Blvd,,Greenville,Casey,Jones,James,,,,,,,CA,,,94556,Casey,,,CA0759992,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10005,999
30006,303 Willow Way,Suite 100,Brookfield,Riley,Garcia,,,,,,,,CA,,,94062,,,,CA0136670,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10006,999
30007,404 Elm Court,,Milltown,Quinn,Miller,Lee,,,,,,,CA,,,94401,,,,CA0810440,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10007,999
30008,505 Ash Drive,Apt 12,Clearwater,Avery,Davis,Ann,,,,,,,CA,,,94404,Avery,,,CA0853530,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10008,999
30009,606 Spruce Place,,Oakdale,Blake,Wilson,,,,,,,,CA,,,94087,,,,CA0813120,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10009,999
30010,707 Hickory Path,Unit 5,Westport,Drew,Moore,Ray,,,,,,,CA,,,94123,,,,CA0811500,,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeeNameAddressUpdate'}",10010,999
