id,faxNumber,homePhone,mobilePhone,officePhone,personalEmailAddress,preferredPronouns,links,employeesWithSSN_id,path_param_client_id
30001,,555-300-0001,555-100-0001,555-200-0001,alex.smith@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10001,999
30002,,555-300-0002,555-100-0002,555-200-0002,jordan.johnson@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10002,999
30003,,555-300-0003,,,taylor.williams@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10003,999
30004,,555-300-0004,555-100-0004,555-200-0004,morgan.brown@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10004,999
30005,,555-300-0005,555-100-0005,555-200-0005,casey.jones@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10005,999
30006,,555-300-0006,555-100-0006,,riley.garcia@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10006,999
30007,,555-300-0007,555-100-0007,555-200-0007,quinn.miller@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10007,999
30008,,555-300-0008,555-100-0008,555-200-0008,avery.davis@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10008,999
30009,,555-300-0009,555-100-0009,,blake.wilson@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10009,999
30010,,555-300-0010,555-100-0010,555-200-0010,drew.moore@example.test,,"{'href': None, 'rel': 'self'}, {'href': None, 'method': 'PUT', 'rel': 'EmployeePersonalUpdate'}",10010,999
