ADDRESS1,ADDRESS2,ADJUSTEDSERVICEDATE,BIRTHDATE,CITY,CLIENTCODE,CLIENTID,CLIENTNAME,COMPANSATIONPLANDESCRIPTION,COMPANYCODE,COMPANYID,COMPANYNAME,COMPENSATIONPLANCODE,COMPENSATIONPLANID,CORPORATEOFFICER,COUNTY,DECEASED,EEOCATEGORYDESCRIPTION,EEOCATEGORYID,EEOGENDERCODE,EEOGENDERDESCRIPTION,ELIGIBLEFORREHIRE,EMAILADDRESS,EMPLOYEEEMPLOYMENTCATEGORYID,EMPLOYEEEMPLOYMENTID,EMPLOYEEID,EMPLOYEEJOBEFFECTIVEDATE,EMPLOYEEJOBID,EMPLOYEENUMBER,EMPLOYEEPAYEFFECTIVEDATE,EMPLOYEEPAYID,EMPLOYMENTCATEGORYCODE,EMPLOYMENTCATEGORYDESCRIPTION,EMPLOYMENTCATEGORYEFFECTIVEDATE,EMPLOYMENTCATEGORYID,EMPLOYMENTSTATUSCODE,EMPLOYMENTSTATUSDESCRIPTION,EMPLOYMENTSTATUSEFFECTIVEDATE,ENDDATE,ETHNICORIGINCODE,ETHNICORIGINDESCRIPTION,FAXNUMBER,FILINGTYPEDESCRIPTION,FIRSTNAME,FLSAEXEMPT,FREQUENCY,FREQUENCYDESCRIPTION,FULLTIMEEQUIVALENT,GENDERCODE,GENDERDESCRIPTION,HIGHLYCOMPENSATED,HIREDATE,HOMEPHONE,HOURLYRATE,ISACAVARIABLEFULLTIME,ISINACTIVE,ISREMOTEWORKER,ISWORKERSCOMPEXEMPT,JOBCODE,JOBID,JOBTITLE,LASTNAME,LEGALID,MANAGEREMPLOYEEID,MANAGERFIRSTNAME,MANAGERLASTNAME,MARITALSTATUSCODE,MARITALSTATUSDESCRIPTION,MIDDLENAME,MILITARYSTATUSCODE,MILITARYSTATUSDESCRIPTION,MOBILEPHONE,NEWHIRENOTES,NORMALHOURS,OFFICEPHONE,OVERRIDEFILINGTYPEID,OWNERSHIPPERCENT,PAYGROUPID,PAYGROUPNAME,PAYTYPECODE,PAYTYPEDESCRIPTION,PEOID,PEOLEGALNAME,PEOSTARTDATE,PERPAYSALARY,PERSONALEMAILADDRESS,PERSONID,PREFERREDNAME,PREFIX,QUALIFIEDPENSIONPLAN,SERVICEGROUPID,SERVICEGROUPNAME,SHIFTNUMBER,SOCCODE,SOCCODEID,SOCTITLE,SSN,STATECODE,STATUTORYEMPLOYEE,SUFFIX,SUPERVISOREMPLOYEEID,SUPERVISORFIRSTNAME,SUPERVISORLASTNAME,TAXEXEMPTSTATUSDESCRIPTION,TAXEXEMPTSTATUSID,TERMINATIONDATE,TERMINATIONNOTES,TERMINATIONREASONCODE,TERMINATIONREASONDESCRIPTION,TERMINATIONREASONID,TIMECARDPOLICYID,TIMECARDPOLICYNAME,TIMECLOCKID,TOBACCOSTATUSEFFECTIVEDATE,TOBACCOSTATUSID,TOBACCOUSE,UNIONEMPLOYEE,VERTEXGEOCODE,VERTEXSCHOOLDISTRICT,WORKCLASSIFICATIONID,WORKCLASSIFICATIONNAME,WORKERSCOMPCODE,WORKERSCOMPID,WORKLOCATIONID,ZIPCODE,SOURCE
100 Axi Lane,,0001-01-01T00:00:00Z,12/16/1987,Stanwood,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,sam.taylor@example.test,488.0,900,20001,2013-10-02T00:00:00Z,640,1,2013-10-02T00:00:00Z,5000,FT,Full Time,2013-10-02T00:00:00Z,62.0,T,Terminated,2025-02-28T00:00:00Z,2025-02-28T00:00:00Z,2,White (Not Hispanic or Latino),,,Sam,True,26,Bi-Weekly,,M,Male,False,2013-10-02T00:00:00Z,555/300/0001,26.2019,False,False,False,False,Director,268.0,Director of Operations,Taylor,200,,,,S,Single,J,,,555/100/0001,,80.0,555/200/0001,,,96,Biweekly Wednesday,2,Salary,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,2096.15,sam.taylor@example.test,900,,,False,5,PEO Production,,,,,900-00-2000,MI,False,,,,,,,2025-02-28T00:00:00Z,,T11,Transfer to Another Client,371.0,,,,2023-07-01T00:00:00Z,11.0,True,False,MI1074635,,,,8810.Clerical Office Employees,384.0,251,49346,axi
200 Axi Drive,,0001-01-01T00:00:00Z,4/27/1958,Sparta Township,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,True,chris.lee@example.test,489.0,901,20002,2010-04-29T00:00:00Z,641,2,2010-04-29T00:00:00Z,5001,FT,Full Time,2010-04-29T00:00:00Z,62.0,T,Terminated,2023-12-31T00:00:00Z,2023-12-31T00:00:00Z,2,White (Not Hispanic or Latino),,,Chris,False,26,Bi-Weekly,,F,Female,False,2010-04-29T00:00:00Z,555/300/0002,23.0769,False,False,False,False,Admin,269.0,Admin,Lee,200,,,,M,Married,,,,555/100/0002,,80.0,555/200/0002,,,96,Biweekly Wednesday,2,Salary,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1846.15,chris.lee@example.test,901,,,False,5,PEO Production,,,,,900-00-2001,MI,False,,,,,,,2023-12-31T00:00:00Z,,T09,Retirement,279.0,,,,0001-01-01T00:00:00Z,,False,False,MI0814457,,,,8810.Clerical Office Employees,384.0,251,49345,axi
300 Axi Road,,0001-01-01T00:00:00Z,4/13/1972,Gowen,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,pat.rivera@example.test,490.0,902,20003,2023-10-30T00:00:00Z,642,3,2023-10-30T00:00:00Z,5002,PT,Part Time,2023-10-30T00:00:00Z,63.0,T,Terminated,2024-06-10T00:00:00Z,2024-06-10T00:00:00Z,2,White (Not Hispanic or Latino),,,Pat,False,26,Bi-Weekly,,F,Female,False,2023-10-30T00:00:00Z,555/300/0003,18.0,False,False,False,False,Admin,269.0,Admin,Rivera,200,,,,S,Single,C,,,,,80.0,,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1440.0,pat.rivera@example.test,902,,,False,5,PEO Production,,,,,900-00-2002,MI,False,,,,,,,2024-06-10T00:00:00Z,,T01,Voluntary Quit - Personal Reasons,271.0,,,,0001-01-01T00:00:00Z,,False,False,MI1170000,,,,8810.Clerical Office Employees,384.0,251,49326,axi
400 Axi Street,,0001-01-01T00:00:00Z,3/13/1997,Greenville,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,jamie.chen@example.test,491.0,903,20004,2021-10-04T00:00:00Z,643,4,2021-10-04T00:00:00Z,5003,FT,Full Time,2021-10-04T00:00:00Z,62.0,T,Terminated,2024-02-23T00:00:00Z,2024-02-23T00:00:00Z,2,White (Not Hispanic or Latino),,,Jamie,False,26,Bi-Weekly,,F,Female,False,2021-10-04T00:00:00Z,555/300/0004,20.7981,False,False,False,False,Admin,269.0,Admin,Chen,200,,,,S,Single,L,,,555/100/0004,,80.0,555/200/0004,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1663.85,jamie.chen@example.test,903,,,False,5,PEO Production,,,,,900-00-2003,MI,False,,,,,,,2024-02-23T00:00:00Z,,T02,Voluntary Quit - Accepted Job Elsewhere,272.0,,,,2022-07-01T00:00:00Z,12.0,True,False,MI1170660,,,,8810.Clerical Office Employees,384.0,251,48838,axi
500 Axi Court,,0001-01-01T00:00:00Z,3/14/1966,Cedar Springs,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,robin.sarns@example.test,492.0,904,20005,2018-11-13T00:00:00Z,644,5,2018-11-13T00:00:00Z,5004,PT,Part Time,2018-11-13T00:00:00Z,63.0,T,Terminated,2023-10-08T00:00:00Z,2023-10-08T00:00:00Z,2,White (Not Hispanic or Latino),,,Robin,False,26,Bi-Weekly,,F,Female,False,2018-11-13T00:00:00Z,555/300/0005,32.0,False,False,False,False,Admin,269.0,Admin,Sarns,200,,,,M,Married,Lynn,,,555/100/0005,,40.0,555/200/0005,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1280.0,robin.sarns@example.test,904,,,False,5,PEO Production,,,,,900-00-2004,MI,False,,,,,,,2023-10-08T00:00:00Z,,T02,Voluntary Quit - Accepted Job Elsewhere,272.0,,,,0001-01-01T00:00:00Z,,False,False,MI0814463,,,,8810.Clerical Office Employees,384.0,251,49319,axi
600 Axi Blvd,,0001-01-01T00:00:00Z,9/4/1993,Morley,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,diana.nichols@example.test,493.0,905,20006,2021-08-18T00:00:00Z,645,6,2021-08-18T00:00:00Z,5005,FT,Full Time,2021-08-18T00:00:00Z,62.0,T,Terminated,2021-09-08T00:00:00Z,2021-09-08T00:00:00Z,2,White (Not Hispanic or Latino),,,Diana,False,26,Bi-Weekly,,F,Female,False,2021-08-18T00:00:00Z,555/300/0006,15.0,False,False,False,False,Admin,269.0,Admin,Nichols,200,,,,M,Married,Kay,,,555/100/0006,,80.0,,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1200.0,diana.nichols@example.test,905,,,False,5,PEO Production,,,,,900-00-2005,MI,False,,,,,,,2021-09-08T00:00:00Z,,T01,Voluntary Quit - Personal Reasons,271.0,,,,0001-01-01T00:00:00Z,,False,False,MI1073366,,,,8810.Clerical Office Employees,384.0,251,49336,axi
700 Axi Way,,0001-01-01T00:00:00Z,5/23/1988,Muskegon,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,tiffany.wilson@example.test,494.0,906,20007,2022-03-21T00:00:00Z,646,7,2022-03-21T00:00:00Z,5006,FT,Full Time,2022-03-21T00:00:00Z,62.0,T,Terminated,2023-04-26T00:00:00Z,2023-04-26T00:00:00Z,3,Black or African American (Not Hispanic or Latino),,,Tiffany,False,26,Bi-Weekly,,F,Female,False,2022-03-21T00:00:00Z,555/300/0007,17.0,False,False,False,False,Admin,269.0,Admin,Wilson,200,,,,S,Single,M,,,555/100/0007,,80.0,555/200/0007,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,1360.0,tiffany.wilson@example.test,906,,,False,5,PEO Production,,,,,900-00-2006,MI,False,,,,,,,2023-04-26T00:00:00Z,,T06,Misconduct,276.0,,,,0001-01-01T00:00:00Z,,False,False,MI1211270,,,,8810.Clerical Office Employees,384.0,251,49442,axi
800 Axi Path,,0001-01-01T00:00:00Z,1/6/1982,Spring Lake,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,jessica.elder@example.test,495.0,907,20008,2020-11-11T00:00:00Z,647,8,2020-11-11T00:00:00Z,5007,FT,Full Time,2020-11-11T00:00:00Z,62.0,T,Terminated,2021-12-15T00:00:00Z,2021-12-15T00:00:00Z,2,White (Not Hispanic or Latino),,,Jessica,False,26,Bi-Weekly,,F,Female,False,2020-11-11T00:00:00Z,555/300/0008,27.0,False,False,False,False,Admin,269.0,Admin,Elder,200,,,,S,Single,,,,555/100/0008,,80.0,555/200/0008,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,2160.0,jessica.elder@example.test,907,,,False,5,PEO Production,,,,,900-00-2007,MI,False,,,,,,,2021-12-15T00:00:00Z,,T01,Voluntary Quit - Personal Reasons,271.0,,,,0001-01-01T00:00:00Z,,False,False,MI1396023,,,,8810.Clerical Office Employees,384.0,251,49456,axi
900 Axi Circle,,0001-01-01T00:00:00Z,2/21/1947,Grand Rapids,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,michael.holton@example.test,496.0,908,20009,2014-04-18T00:00:00Z,648,9,2014-04-18T00:00:00Z,5008,PT,Part Time,2014-04-18T00:00:00Z,63.0,T,Terminated,2025-02-28T00:00:00Z,2025-02-28T00:00:00Z,2,White (Not Hispanic or Latino),,,Michael,False,26,Bi-Weekly,,M,Male,False,2014-04-18T00:00:00Z,555/300/0009,18.5,False,False,False,False,Admin,269.0,Admin,Holton,200,,,,S,Single,James,,,555/100/0009,,80.0,,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,888.0,michael.holton@example.test,908,,,False,5,PEO Production,,,,,900-00-2008,MI,False,,,,,,,2025-02-28T00:00:00Z,,T11,Transfer to Another Client,371.0,,,,0001-01-01T00:00:00Z,,False,False,MI0810640,,,,8810.Clerical Office Employees,384.0,251,49505,axi
1000 Axi Place,Apt A,0001-01-01T00:00:00Z,6/1/1972,Hudsonville,888,888,Dummy Axi Test Client,,888,200,Dummy Axi Test Company LLC,,,False,,False,,0,,,False,amber.robinson@example.test,497.0,909,20010,2022-02-21T00:00:00Z,649,10,2022-02-21T00:00:00Z,5009,FT,Full Time,2022-02-21T00:00:00Z,62.0,T,Terminated,2022-07-25T00:00:00Z,2022-07-25T00:00:00Z,2,White (Not Hispanic or Latino),,,Amber,False,26,Bi-Weekly,,F,Female,False,2022-02-21T00:00:00Z,555/300/0010,15.0,False,False,False,False,Admin,269.0,Admin,Robinson,200,,,,D,Divorced,B,,,555/100/0010,,40.0,555/200/0010,,,96,Biweekly Wednesday,1,Hourly,16,Dummy Axi Test Company LLC,2021-03-07T00:00:00Z,600.0,amber.robinson@example.test,909,,,False,5,PEO Production,,,,,900-00-2009,MI,False,,,,,,,2022-07-25T00:00:00Z,,T04,Elimination of Position/Workforce Reduction,274.0,,,,0001-01-01T00:00:00Z,,False,False,MI1390840,,,,8810.Clerical Office Employees,384.0,251,49426,axi
