id,acaEmploymentStatus,activeDutySeparationDate,adjustedServiceDate,annualSalary,birthDate,citizenship,disabilityDescription,disabilityNotes,disabled,disabledEffectiveDate,disabledRequiresAccomodation,eeoGenderOverride,eligibleForRehire,emailAddress,employeeNumber,employmentCategoryCode,employmentCategoryEffectiveDate,employmentCategoryFullTimeEquivalent,employmentStatus,enableSelfService,ethnicOrigin,gender,hireDate,hourlyRate,allowEmployeeAccess,allowManagerAccess,allowSupervisorAccess,documentCode,documentContent,documentDescription,documentFileName,documentNumber,expirationDate,issuingAuthority,href,method,rel,i9Completed,i9CompletedDate,idType,isManager,isPending,isRecentlySeparatedVeteran,isRemoteWorker,isSupervisor,jobCode,jobEeoCategory,jobEffectiveDate,jobFLSAExempt,jobGroup,jobIsSeasonal,jobIsUnion,jobTitle,legalCode,maritalStatus,militaryStatus,normalHours,originalHireDate,address1,address2,city,country,deleteAddress,foreignPostalCode,foreignStateProvince,militaryCity,militaryState,state,useForPaychecks,useForTaxForms,zipCode,payFrequency,payGroup,payType,perPaySalary,profilePicture,protectedVeteran,reciprocityRule,rehireDate,salaryEffectiveDate,socCode,ssn,statusDate,taxExemptStatus,terminationDate,terminationReason,terminationType,timecardPunchStatusDate,timecardPunchStatusIsIn,timeclockId,tobaccoUse,uniqueId,updatedDisabledEffectiveDate,updatedHireDate,updatedJobEffectiveDate,updatedSalaryEffectiveDate,updatedStatusDate,veteranStatusNotSpecified,workersCompCode,workLocation,workLocationDashDescription,applicationDate,includeCertification,jobAcceptedDate,jobOfferedDate,links,path_param_client_id
20001,ACA Full Time,,2013-10-02T00:00:00,75000,1987-12-16T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2013-10-02T00:00:00,FALSE,,FALSE,sam.taylor@example.test,1,FT,2013-10-02T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Male,2013-10-02T00:00:00,26.2019,,,,,,,,,,,,,,TRUE,2013-10-02T00:00:00,,TRUE,,,FALSE,FALSE,Director,,2013-10-02T00:00:00,True,,FALSE,FALSE,Director of Operations,C888888,Single,,80,2013-10-02T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,2096.15,,FALSE,,,2013-10-02T00:00:00,,900-00-2000,2025-02-28T00:00:00,,2025-02-28T00:00:00,Transfer to Another Client,Voluntary Termination,,,,True,20001,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20001', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20001/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20001/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20002,ACA Exempt,,,60000,1958-04-27T00:00:00,Citizen of the United States,,,,,,,True,chris.lee@example.test,2,FT,2010-04-29T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2010-04-29T00:00:00,23.0769,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,Admin,,2010-04-29T00:00:00,False,,FALSE,FALSE,Admin,C888888,Married,,80,2010-04-29T00:00:00,,,,,,,,,,,,,,24,S15EOM,Salary,1846.15,,FALSE,,,2010-04-29T00:00:00,,900-00-2001,2023-12-31T00:00:00,,2023-12-31T00:00:00,Retirement,Voluntary Termination,,,,False,20002,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20002', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20002/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20002/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20003,ACA Full Time,,2023-10-30T00:00:00,45000,1972-04-13T00:00:00,Citizen of the United States,,,,,,,FALSE,pat.rivera@example.test,3,PT,2023-10-30T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2023-10-30T00:00:00,18.0,,,,,,,,,,,,,,TRUE,2023-10-30T00:00:00,,FALSE,,,FALSE,FALSE,Admin,,2023-10-30T00:00:00,False,,FALSE,FALSE,Admin,C888888,Single,,80,2023-10-30T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1440.0,,FALSE,,,2023-10-30T00:00:00,,900-00-2002,2024-06-10T00:00:00,,2024-06-10T00:00:00,Voluntary Quit - Personal Reasons,Voluntary Termination,,,,False,20003,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20003', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20003/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20003/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20004,ACA Full Time,,,50000,1997-03-13T00:00:00,Citizen of the United States,,,,,,,FALSE,jamie.chen@example.test,4,FT,2021-10-04T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2021-10-04T00:00:00,20.7981,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,Admin,,2021-10-04T00:00:00,False,,FALSE,FALSE,Admin,C888888,Single,,80,2021-10-04T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1663.85,,FALSE,,,2021-10-04T00:00:00,,900-00-2003,2024-02-23T00:00:00,,2024-02-23T00:00:00,Voluntary Quit - Accepted Job Elsewhere,Voluntary Termination,,,,True,20004,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20004', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20004/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20004/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20005,ACA Exempt,,2018-11-13T00:00:00,55000,1966-03-14T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2018-11-13T00:00:00,FALSE,,FALSE,robin.sarns@example.test,5,PT,2018-11-13T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2018-11-13T00:00:00,32.0,,,,,,,,,,,,,,TRUE,2018-11-13T00:00:00,,FALSE,,,FALSE,FALSE,Admin,,2018-11-13T00:00:00,False,,FALSE,FALSE,Admin,C888888,Married,,40,2018-11-13T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1280.0,,FALSE,,,2018-11-13T00:00:00,,900-00-2004,2023-10-08T00:00:00,,2023-10-08T00:00:00,Voluntary Quit - Accepted Job Elsewhere,Voluntary Termination,,,,False,20005,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20005', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20005/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20005/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20006,ACA Full Time,,,40000,1993-09-04T00:00:00,Citizen of the United States,,,,,,,FALSE,diana.nichols@example.test,6,FT,2021-08-18T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2021-08-18T00:00:00,15.0,,,,,,,,,,,,,,FALSE,,,TRUE,,,FALSE,FALSE,Admin,,2021-08-18T00:00:00,False,,FALSE,FALSE,Admin,C888888,Married,,80,2021-08-18T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1200.0,,FALSE,,,2021-08-18T00:00:00,,900-00-2005,2021-09-08T00:00:00,,2021-09-08T00:00:00,Voluntary Quit - Personal Reasons,Voluntary Termination,,,,False,20006,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20006', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20006/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20006/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20007,ACA Full Time,,2022-03-21T00:00:00,48000,1988-05-23T00:00:00,Citizen of the United States,,,,,,,FALSE,tiffany.wilson@example.test,7,FT,2022-03-21T00:00:00,,Terminated,TRUE,Black or African American (Not Hispanic or Latino),Female,2022-03-21T00:00:00,17.0,,,,,,,,,,,,,,TRUE,2022-03-21T00:00:00,,FALSE,,,FALSE,FALSE,Admin,,2022-03-21T00:00:00,False,,FALSE,FALSE,Admin,C888888,Single,,80,2022-03-21T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,1360.0,,FALSE,,,2022-03-21T00:00:00,,900-00-2006,2023-04-26T00:00:00,,2023-04-26T00:00:00,Misconduct,Voluntary Termination,,,,False,20007,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20007', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20007/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20007/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20008,ACA Exempt,,,52000,1982-01-06T00:00:00,Citizen of the United States,,,,,,,FALSE,jessica.elder@example.test,8,FT,2020-11-11T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2020-11-11T00:00:00,27.0,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,Admin,,2020-11-11T00:00:00,False,,FALSE,FALSE,Admin,C888888,Single,,80,2020-11-11T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,2160.0,,FALSE,,,2020-11-11T00:00:00,,900-00-2007,2021-12-15T00:00:00,,2021-12-15T00:00:00,Voluntary Quit - Personal Reasons,Voluntary Termination,,,,False,20008,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20008', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20008/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20008/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20009,ACA Full Time,,2014-04-18T00:00:00,42000,1947-02-21T00:00:00,Citizen of the United States,Not Disabled,,FALSE,2014-04-18T00:00:00,FALSE,,FALSE,michael.holton@example.test,9,PT,2014-04-18T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Male,2014-04-18T00:00:00,18.5,,,,,,,,,,,,,,TRUE,2014-04-18T00:00:00,,FALSE,,,FALSE,FALSE,Admin,,2014-04-18T00:00:00,False,,FALSE,FALSE,Admin,C888888,Single,,80,2014-04-18T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,888.0,,FALSE,,,2014-04-18T00:00:00,,900-00-2008,2025-02-28T00:00:00,,2025-02-28T00:00:00,Transfer to Another Client,Voluntary Termination,,,,False,20009,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20009', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20009/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20009/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
20010,ACA Full Time,,,38000,1972-06-01T00:00:00,Citizen of the United States,,,,,,,FALSE,amber.robinson@example.test,10,FT,2022-02-21T00:00:00,,Terminated,TRUE,White (Not Hispanic or Latino),Female,2022-02-21T00:00:00,15.0,,,,,,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,Admin,,2022-02-21T00:00:00,False,,FALSE,FALSE,Admin,C888888,Divorced,,40,2022-02-21T00:00:00,,,,,,,,,,,,,,24,S15EOM,Hourly,600.0,,FALSE,,,2022-02-21T00:00:00,,900-00-2009,2022-07-25T00:00:00,,2022-07-25T00:00:00,Elimination of Position/Workforce Reduction,Voluntary Termination,,,,False,20010,,,,,,TRUE,8810 - Clerical Office Employees,OFFICEMI01,OFFICEMI01 - Main Office - MI,,FALSE,,,"{'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20010', 'rel': 'self'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20010/checks', 'rel': 'Checks'}, {'href': 'https://example.test/rest/api/clients/888/legals/100/employees/20010/taxWithholding', 'rel': 'EmployeeTaxWithholding'}",888
